iter	Passed	Remaining
0	100	100736
1	223	111482
2	345	114667
3	452	112679
4	551	109778
5	663	109952
6	772	109516
7	866	107464
8	989	108981
9	1107	109606
10	1240	111519
11	1366	112507
12	1509	114579
13	1640	115558
14	1746	114699
15	1900	116898
16	2018	116701
17	2128	116117
18	2259	116680
19	2361	115693
20	2489	116041
21	2606	115865
22	2710	115139
23	2838	115437
24	2976	116100
25	3122	116985
26	3268	117783
27	3363	116749
28	3490	116856
29	3615	116900
30	3749	117205
31	3859	116746
32	3985	116777
33	4109	116765
34	4226	116538
35	4339	116192
36	4441	115604
37	4560	115444
38	4691	115611
39	4809	115421
40	4922	115148
41	5039	114958
42	5138	114371
43	5246	113998
44	5385	114299
45	5510	114289
46	5628	114131
47	5738	113807
48	5873	113986
49	5999	113981
50	6122	113930
51	6240	113770
52	6350	113464
53	6458	113147
54	6576	112995
55	6677	112567
56	6781	112190
57	6913	112277
58	7049	112430
59	7163	112232
60	7345	113069
61	7479	113159
62	7579	112731
63	7710	112771
64	7810	112352
65	7906	111882
66	8028	111797
67	8132	111463
68	8231	111063
69	8374	111264
70	8477	110917
71	8597	110814
72	8718	110713
73	8823	110418
74	8948	110359
75	9052	110053
76	9170	109923
77	9289	109804
78	9389	109463
79	9501	109261
80	9604	108969
81	9709	108703
82	9816	108457
83	9921	108190
84	10044	108127
85	10169	108082
86	10279	107879
87	10384	107625
88	10490	107382
89	10619	107371
90	10759	107478
91	10900	107585
92	11033	107606
93	11148	107453
94	11249	107163
95	11365	107028
96	11484	106916
97	11609	106857
98	11729	106751
99	11891	107025
100	12019	106985
101	12135	106838
102	12246	106655
103	12374	106608
104	12507	106614
105	12618	106425
106	12758	106481
107	12866	106263
108	13000	106266
109	13145	106359
110	13246	106092
111	13342	105786
112	13460	105662
113	13577	105519
114	13685	105320
115	13790	105093
116	13910	104982
117	14036	104919
118	14172	104921
119	14271	104654
120	14367	104372
121	14505	104389
122	14611	104180
123	14741	104144
124	14864	104050
125	14999	104045
126	15111	103874
127	15211	103628
128	15322	103454
129	15417	103181
130	15528	103008
131	15634	102806
132	15741	102617
133	15847	102415
134	15972	102342
135	16081	102162
136	16206	102091
137	16317	101924
138	16423	101733
139	16535	101574
140	16651	101446
141	16770	101329
142	16891	101229
143	17007	101100
144	17132	101023
145	17260	100962
146	17380	100856
147	17491	100696
148	17606	100557
149	17756	100618
150	17894	100613
151	18021	100540
152	18142	100436
153	18264	100338
154	18355	100065
155	18457	99858
156	18604	99895
157	18710	99709
158	18825	99574
159	19008	99792
160	19118	99630
161	19236	99506
162	19364	99435
163	19476	99280
164	19574	99058
165	19710	99028
166	19824	98887
167	19941	98756
168	20053	98604
169	20152	98393
170	20267	98257
171	20387	98144
172	20491	97954
173	20607	97825
174	20739	97774
175	20843	97587
176	20945	97388
177	21083	97364
178	21202	97247
179	21329	97167
180	21447	97047
181	21573	96963
182	21717	96958
183	21874	97009
184	22010	96963
185	22156	96966
186	22318	97032
187	22437	96909
188	22571	96856
189	22691	96739
190	22807	96601
191	22957	96612
192	23062	96433
193	23178	96299
194	23334	96328
195	23459	96231
196	23605	96217
197	23727	96106
198	23841	95964
199	23941	95764
200	24061	95645
201	24192	95572
202	24304	95422
203	24415	95269
204	24518	95082
205	24629	94932
206	24761	94859
207	24882	94744
208	25015	94677
209	25133	94550
210	25251	94425
211	25382	94344
212	25504	94235
213	25613	94074
214	25729	93942
215	25841	93794
216	25959	93670
217	26088	93584
218	26201	93438
219	26314	93296
220	26422	93135
221	26541	93016
222	26638	92816
223	26785	92792
224	26898	92651
225	26996	92457
226	27117	92343
227	27248	92262
228	27365	92135
229	27494	92045
230	27619	91945
231	27756	91884
232	27888	91804
233	28004	91674
234	28134	91585
235	28242	91429
236	28341	91241
237	28460	91122
238	28571	90974
239	28703	90892
240	28827	90789
241	29033	90939
242	29150	90809
243	29255	90643
244	29367	90498
245	29485	90375
246	29605	90256
247	29724	90131
248	29823	89950
249	29951	89855
250	30056	89691
251	30160	89525
252	30279	89403
253	30372	89203
254	30500	89108
255	30608	88956
256	30740	88871
257	30841	88699
258	30934	88504
259	31034	88328
260	31149	88197
261	31256	88041
262	31362	87885
263	31488	87786
264	31610	87675
265	31716	87519
266	31805	87315
267	31899	87128
268	32012	86993
269	32128	86864
270	32237	86719
271	32345	86571
272	32454	86427
273	32568	86293
274	32688	86178
275	32798	86037
276	32935	85965
277	33067	85879
278	33178	85740
279	33269	85550
280	33405	85476
281	33514	85331
282	33646	85245
283	33784	85175
284	33883	85007
285	33996	84871
286	34111	84743
287	34232	84630
288	34379	84581
289	34490	84442
290	34611	84328
291	34753	84265
292	34863	84125
293	34985	84012
294	35076	83826
295	35193	83704
296	35294	83542
297	35398	83387
298	35499	83227
299	35634	83146
300	35786	83106
301	35907	82992
302	36027	82875
303	36173	82819
304	36310	82741
305	36429	82620
306	36548	82501
307	36656	82359
308	36808	82313
309	36932	82204
310	37079	82147
311	37208	82050
312	37332	81941
313	37441	81799
314	37554	81666
315	37705	81615
316	37850	81551
317	38022	81544
318	38150	81442
319	38327	81446
320	38445	81323
321	38541	81152
322	38649	81007
323	38768	80887
324	38872	80735
325	38994	80621
326	39105	80483
327	39209	80331
328	39335	80224
329	39457	80109
330	39592	80021
331	39711	79901
332	39818	79756
333	39936	79632
334	40058	79518
335	40183	79409
336	40299	79283
337	40412	79150
338	40529	79026
339	40639	78889
340	40743	78739
341	40856	78607
342	40976	78489
343	41117	78409
344	41242	78301
345	41356	78170
346	41452	78007
347	41555	77857
348	41685	77756
349	41813	77653
350	41922	77514
351	42040	77393
352	42180	77310
353	42273	77143
354	42386	77012
355	42491	76867
356	42591	76711
357	42723	76616
358	42860	76528
359	42989	76425
360	43109	76306
361	43219	76170
362	43347	76066
363	43441	75903
364	43561	75785
365	43671	75648
366	43778	75509
367	43908	75408
368	44048	75324
369	44176	75219
370	44303	75113
371	44424	74995
372	44524	74844
373	44663	74758
374	44789	74649
375	44951	74599
376	45058	74460
377	45201	74379
378	45334	74282
379	45484	74211
380	45629	74133
381	45769	74046
382	45904	73951
383	46060	73888
384	46187	73779
385	46312	73668
386	46447	73571
387	46551	73427
388	46667	73300
389	46807	73212
390	46944	73117
391	47064	72997
392	47186	72881
393	47314	72773
394	47475	72716
395	47614	72624
396	47742	72516
397	47864	72397
398	47992	72289
399	48122	72184
400	48248	72072
401	48447	72068
402	48582	71968
403	48715	71867
404	48833	71743
405	48965	71639
406	49096	71533
407	49245	71454
408	49404	71388
409	49554	71309
410	49674	71187
411	49793	71065
412	49926	70960
413	50079	70885
414	50205	70772
415	50360	70698
416	50517	70627
417	50676	70559
418	50809	70453
419	50950	70360
420	51086	70258
421	51216	70149
422	51340	70031
423	51470	69922
424	51624	69845
425	51745	69723
426	51857	69588
427	51998	69493
428	52142	69402
429	52296	69323
430	52438	69228
431	52556	69101
432	52682	68985
433	52813	68876
434	52947	68771
435	53075	68657
436	53200	68539
437	53319	68414
438	53442	68294
439	53560	68168
440	53682	68046
441	53798	67917
442	53938	67819
443	54074	67714
444	54191	67586
445	54324	67478
446	54438	67348
447	54569	67237
448	54694	67119
449	54813	66993
450	54924	66859
451	55050	66742
452	55179	66629
453	55331	66544
454	55444	66411
455	55571	66295
456	55712	66196
457	55884	66134
458	56059	66074
459	56174	65943
460	56293	65817
461	56399	65677
462	56517	65550
463	56612	65397
464	56740	65281
465	56844	65139
466	56949	64997
467	57090	64897
468	57209	64772
469	57319	64636
470	57446	64521
471	57572	64403
472	57696	64282
473	57879	64229
474	58052	64162
475	58184	64052
476	58302	63925
477	58445	63824
478	58574	63710
479	58739	63634
480	58891	63543
481	59026	63434
482	59166	63331
483	59300	63221
484	59404	63079
485	59524	62953
486	59665	62850
487	59768	62708
488	59888	62583
489	60026	62476
490	60153	62358
491	60272	62232
492	60405	62120
493	60517	61987
494	60644	61870
495	60751	61731
496	60869	61604
497	61013	61503
498	61147	61392
499	61286	61286
500	61430	61184
501	61579	61088
502	61704	60968
503	61860	60878
504	61991	60763
505	62124	60650
506	62258	60539
507	62367	60403
508	62513	60302
509	62645	60188
510	62753	60052
511	62885	59937
512	63008	59815
513	63147	59707
514	63263	59578
515	63371	59441
516	63502	59326
517	63619	59198
518	63755	59087
519	63918	59001
520	64039	58876
521	64174	58765
522	64306	58650
523	64438	58535
524	64552	58404
525	64666	58273
526	64780	58142
527	64901	58017
528	65085	57949
529	65212	57829
530	65340	57711
531	65473	57597
532	65586	57465
533	65698	57332
534	65814	57203
535	65929	57073
536	66041	56940
537	66183	56834
538	66313	56717
539	66435	56592
540	66565	56476
541	66703	56365
542	66821	56238
543	66935	56107
544	67069	55993
545	67207	55883
546	67323	55753
547	67437	55623
548	67551	55493
549	67686	55380
550	67821	55266
551	67931	55132
552	68044	55001
553	68166	54877
554	68292	54757
555	68401	54623
556	68534	54507
557	68666	54391
558	68768	54252
559	68881	54121
560	68999	53994
561	69126	53874
562	69229	53735
563	69346	53608
564	69453	53473
565	69572	53346
566	69680	53212
567	69783	53075
568	69919	52961
569	70023	52825
570	70145	52701
571	70256	52569
572	70387	52452
573	70499	52321
574	70645	52216
575	70754	52082
576	70851	51941
577	70963	51810
578	71074	51679
579	71183	51546
580	71299	51419
581	71410	51287
582	71512	51150
583	71651	51039
584	71754	50902
585	71882	50783
586	72017	50669
587	72170	50568
588	72309	50457
589	72412	50320
590	72515	50184
591	72642	50064
592	72765	49941
593	72865	49803
594	72971	49669
595	73072	49532
596	73185	49403
597	73306	49279
598	73414	49147
599	73526	49017
600	73631	48883
601	73741	48753
602	73878	48639
603	74016	48527
604	74122	48394
605	74221	48256
606	74340	48131
607	74445	47997
608	74550	47864
609	74661	47734
610	74791	47616
611	74906	47489
612	75034	47371
613	75136	47235
614	75257	47112
615	75386	46994
616	75512	46873
617	75637	46753
618	75740	46618
619	75861	46495
620	75973	46366
621	76103	46249
622	76202	46112
623	76317	45986
624	76443	45866
625	76538	45727
626	76668	45609
627	76848	45521
628	76965	45396
629	77083	45271
630	77203	45147
631	77306	45014
632	77435	44895
633	77553	44770
634	77688	44655
635	77801	44527
636	77902	44393
637	78024	44271
638	78120	44133
639	78232	44005
640	78357	43885
641	78467	43755
642	78606	43643
643	78739	43526
644	78850	43398
645	78958	43268
646	79063	43136
647	79161	43001
648	79295	42885
649	79429	42769
650	79551	42647
651	79682	42529
652	79794	42402
653	79919	42281
654	80017	42146
655	80141	42025
656	80264	41903
657	80365	41770
658	80494	41651
659	80607	41524
660	80737	41406
661	80860	41285
662	80980	41162
663	81098	41037
664	81218	40914
665	81316	40780
666	81413	40645
667	81551	40531
668	81662	40403
669	81791	40285
670	81904	40158
671	82006	40027
672	82122	39901
673	82223	39769
674	82334	39642
675	82458	39521
676	82579	39399
677	82693	39273
678	82820	39153
679	82955	39038
680	83074	38914
681	83181	38785
682	83303	38663
683	83430	38543
684	83541	38416
685	83648	38287
686	83759	38161
687	83871	38034
688	84009	37920
689	84116	37791
690	84234	37667
691	84343	37540
692	84469	37420
693	84604	37303
694	84706	37173
695	84807	37042
696	84925	36918
697	85035	36791
698	85147	36665
699	85263	36541
700	85384	36419
701	85501	36295
702	85606	36166
703	85731	36046
704	85845	35920
705	85955	35794
706	86061	35666
707	86183	35544
708	86297	35419
709	86404	35291
710	86532	35173
711	86650	35049
712	86772	34927
713	86901	34809
714	87028	34689
715	87162	34572
716	87266	34444
717	87380	34319
718	87503	34198
719	87621	34075
720	87750	33955
721	87858	33829
722	87968	33703
723	88082	33578
724	88200	33455
725	88337	33339
726	88487	33228
727	88606	33105
728	88710	32977
729	88831	32855
730	88960	32736
731	89160	32643
732	89282	32521
733	89375	32389
734	89509	32272
735	89614	32144
736	89723	32017
737	89849	31897
738	89964	31773
739	90084	31651
740	90193	31525
741	90294	31396
742	90398	31268
743	90523	31147
744	90650	31028
745	90743	30896
746	90851	30770
747	90978	30650
748	91114	30533
749	91258	30419
750	91364	30292
751	91473	30166
752	91592	30044
753	91714	29922
754	91834	29800
755	91940	29674
756	92059	29551
757	92157	29422
758	92284	29302
759	92399	29178
760	92510	29053
761	92640	28934
762	92769	28815
763	92888	28693
764	93002	28569
765	93121	28447
766	93240	28324
767	93357	28201
768	93476	28079
769	93601	27958
770	93715	27835
771	93855	27719
772	93958	27592
773	94069	27467
774	94187	27344
775	94298	27220
776	94420	27098
777	94522	26971
778	94633	26847
779	94738	26721
780	94867	26601
781	94993	26481
782	95117	26360
783	95243	26240
784	95386	26124
785	95519	26006
786	95623	25880
787	95738	25756
788	95856	25634
789	95974	25512
790	96093	25389
791	96203	25265
792	96308	25139
793	96449	25023
794	96564	24900
795	96680	24777
796	96782	24650
797	96898	24528
798	97022	24407
799	97160	24290
800	97265	24164
801	97359	24036
802	97489	23917
803	97611	23795
804	97723	23672
805	97834	23548
806	97941	23423
807	98054	23300
808	98164	23176
809	98287	23055
810	98404	22932
811	98532	22813
812	98662	22693
813	98780	22571
814	98908	22451
815	99043	22333
816	99187	22216
817	99326	22099
818	99439	21976
819	99548	21852
820	99652	21726
821	99739	21598
822	99837	21471
823	99990	21357
824	100174	21249
825	100293	21127
826	100408	21004
827	100549	20887
828	100666	20764
829	100801	20646
830	100906	20521
831	101007	20395
832	101142	20277
833	101262	20155
834	101391	20035
835	101518	19915
836	101638	19793
837	101768	19673
838	101876	19549
839	102006	19429
840	102102	19303
841	102212	19180
842	102335	19058
843	102461	18938
844	102583	18817
845	102723	18699
846	102855	18579
847	102962	18455
848	103084	18334
849	103209	18213
850	103338	18093
851	103481	17975
852	103623	17857
853	103750	17737
854	103866	17614
855	103982	17492
856	104079	17366
857	104201	17245
858	104318	17123
859	104461	17005
860	104612	16888
861	104725	16765
862	104855	16645
863	104988	16525
864	105112	16404
865	105235	16283
866	105368	16163
867	105487	16041
868	105604	15919
869	105735	15799
870	105850	15677
871	105977	15556
872	106119	15437
873	106239	15316
874	106402	15200
875	106522	15078
876	106657	14958
877	106785	14838
878	106912	14717
879	107043	14596
880	107186	14478
881	107296	14354
882	107442	14236
883	107549	14112
884	107681	13992
885	107792	13869
886	107917	13748
887	108051	13628
888	108185	13507
889	108327	13388
890	108462	13268
891	108581	13146
892	108702	13024
893	108826	12903
894	108945	12781
895	109063	12659
896	109172	12536
897	109282	12412
898	109398	12290
899	109518	12168
900	109640	12047
901	109800	11929
902	109959	11811
903	110098	11691
904	110213	11569
905	110334	11447
906	110494	11329
907	110622	11208
908	110740	11086
909	110857	10963
910	110979	10842
911	111086	10718
912	111180	10594
913	111334	10475
914	111475	10355
915	111591	10233
916	111709	10111
917	111839	9990
918	112018	9873
919	112130	9750
920	112266	9629
921	112374	9506
922	112486	9384
923	112600	9261
924	112704	9138
925	112832	9016
926	112996	8898
927	113116	8776
928	113224	8653
929	113337	8530
930	113471	8409
931	113592	8287
932	113737	8167
933	113886	8047
934	114011	7925
935	114114	7802
936	114214	7679
937	114342	7557
938	114455	7435
939	114579	7313
940	114699	7191
941	114834	7070
942	114958	6948
943	115091	6827
944	115236	6706
945	115365	6585
946	115501	6464
947	115611	6341
948	115724	6219
949	115854	6097
950	115972	5975
951	116079	5852
952	116197	5730
953	116312	5608
954	116444	5486
955	116565	5364
956	116677	5242
957	116775	5119
958	116889	4997
959	117024	4876
960	117151	4754
961	117277	4632
962	117410	4511
963	117522	4388
964	117648	4267
965	117787	4145
966	117900	4023
967	118032	3901
968	118156	3780
969	118276	3658
970	118408	3536
971	118519	3414
972	118642	3292
973	118758	3170
974	118871	3047
975	118993	2926
976	119122	2804
977	119241	2682
978	119371	2560
979	119506	2438
980	119621	2316
981	119727	2194
982	119852	2072
983	119985	1950
984	120107	1829
985	120223	1707
986	120348	1585
987	120483	1463
988	120630	1341
989	120764	1219
990	120904	1098
991	121022	975
992	121133	853
993	121249	731
994	121373	609
995	121527	488
996	121671	366
997	121807	244
998	121935	122
999	122063	0
